"Category","Min-Temperature","Mean-Temperature","Max-Temperature","Precipitation"
"Jan",22.03,26.58,31.17,235.86
"Feb",22.01,26.51,31.05,198.81
"Mar",21.51,26.12,30.78,152.06
"Apr",19.64,24.64,29.69,65.51
"May",17,22.75,28.55,18.78
"Jun",14.88,20.91,27,14.63
"Jul",14.29,20.3,26.36,13.22
"Aug",15.41,21.73,28.1,8.38
"Sep",17.7,24.02,30.4,8.76
"Oct",19.84,25.79,31.79,17.35
"Nov",21.43,26.92,32.45,68.07
"Dec",22.01,26.79,31.62,168.07
